CustomerID,CompanyName,Industry,Country,State,City,EmployeeCount,AnnualRevenue,CompanySize,Website,JoinDate,SalesRepID,CustomerSuccessID,CustomerStatus,HealthScore
C000001,United Foster Holdings,Government,France,California,Veronicastad,1257,89241106.0,Large,"fisher,bakerandwalls.com",2023-07-17 05:56:53,E00289,E01307,Active,95
C000002,Dynamic Griffin Labs,Education,France,New Hampshire,New Marissa,47,2018500.0,Startup,kelleyllc.com,2018-03-27 07:13:11,E01056,E01190,Churned,60
C000003,Blue Patton Industries,Logistics,Canada,Utah,,27,1857461.0,Startup,ali-wheeler.com,2021-02-05 04:33:47,E00608,E00732,Active,83
C000004,Quantum Butler Consulting,Technology,Italy,Oklahoma,Taylorbury,126,5313592.0,Small,stephensgroup.com,2025-12-26 00:18:09,E00618,E00924,Active,92
C000005,Next Young Systems,Construction,Singapore,Missouri,Anthonyside,179,7496256.0,Small,branch-stevens.com,2020-02-11 23:34:49,E00912,E00720,Active,86
C000006,Blue Daniels Enterprises,Energy,South Africa,Kentucky,Lawrencestad,13,100000.0,Startup,"townsend,conwayandmay.com",2022-09-11 17:02:55,E00224,E00451,Active,83
C000007,Dynamic Miller Group,Government,Malaysia,Oklahoma,Leebury,3231,59281692.0,Large,mcdanielllc.com,2023-03-07 15:58:46,E00037,E00531,Active,47
C000008,Nova Campbell Group,Healthcare,Singapore,Rhode Island,Edwardsshire,108,3970731.0,Small,dixon-torres.com,2020-08-08 08:46:20,E00254,E00322,Active,73
C000009,Dynamic Flores Technologies,Manufacturing,South Africa,New Hampshire,Jeffreyview,184,9466664.0,Small,johnson-ross.com,2024-11-30 02:30:46,E00584,E00215,Churned,65
C000010,Dynamic Reeves Holdings,Technology,India,Connecticut,Cruzshire,82,953925.0,Small,walkerltd.com,2022-08-02 11:00:56,E00065,E01038,Active,36
C000011,Global Mathis Technologies,Healthcare,India,Kentucky,Snyderland,867,14371405.0,Medium,bassgroup.com,2022-07-02 21:43:09,E00639,E00215,Active,69
C000012,Nova Mccall Systems,Healthcare,Singapore,Kansas,South Christopher,775,56123004.0,Medium,silvallc.com,2024-05-31 13:21:45,E00584,E00778,Active,96
C000013,Next Potts Systems,Telecom,France,Rhode Island,South Katie,17,1106891.0,Startup,sims-savage.com,2018-05-12 06:41:29,E00872,E01179,Active,49
C000014,Global Booth Industries,Education,South Africa,Nevada,Rogerston,24914,310381531.0,Enterprise,smith-davis.com,2024-10-21 04:35:25,E00682,E00158,Active,42
C000015,United Arnold Solutions,Finance,UK,Nebraska,West Russell,635,9882884.0,Medium,"osborne,walkerandcook.com",2021-07-08 00:15:05,E00993,E00036,Churned,85
C000016,Elite Vaughn Holdings,Construction,Saudi Arabia,Wyoming,Christensenberg,136,2635619.0,Small,foster-brooks.com,2018-07-24 20:03:41,E00324,E00077,Active,43
C000017,Elite Campos Systems,Manufacturing,Malaysia,South Dakota,East Bonnieborough,2335,31280091.0,Large,reynolds-brown.com,2019-01-31 21:41:02,E01043,E00075,Active,40
C000018,Prime Novak Technologies,Construction,USA,Tennessee,West Jamesland,118,973958.0,Small,johnson-bailey.com,2021-11-02 20:31:43,E00331,E00297,Churned,77
C000019,Next Adams Solutions,Manufacturing,Saudi Arabia,South Dakota,North Natalie,27,303088.0,Startup,davenportllc.com,2023-11-14 21:20:10,E01119,E00767,Inactive,39
C000020,Quantum Young Solutions,Government,Spain,Arizona,East Kelseystad,212,6442255.0,Medium,"watson,ellisandrivera.com",2025-01-13 21:13:07,E00079,E00924,Active,64
C000021,Nova Mccormick Technologies,Manufacturing,Brazil,West Virginia,Sandraton,898,36762978.0,Medium,"vance,lewisandbrock.com",2021-02-09 12:54:12,E00488,E00756,Active,91
C000022,Elite Miller Technologies,Retail,Japan,Wyoming,South Crystalshire,169,3810234.0,Small,"lyons,wrightanddavis.com",2025-05-29 08:43:16,E00658,E00550,Churned,96
C000023,Blue Williams Consulting,Manufacturing,Singapore,Alabama,East Mark,115,4803107.0,Small,"parker,adamsandmurray.com",2022-11-25 15:03:08,E01228,E00068,Active,86
C000024,Dynamic Mccarthy Group,Retail,Netherlands,Oregon,Gutierrezview,84,3827237.0,Small,"bridges,williamsandlee.com",2023-05-23 01:49:57,E01189,E00960,Churned,51
C000025,Elite Hancock Group   ,Telecom,India,North Carolina,New Timothyview,996,21230705.0,Medium,millerplc.com,2018-04-24 16:02:56,E01209,E00432,Active,59
C000026,Elite Garrett Group,Logistics,Germany,Missouri,New Joshua,128,7046252.0,Small,"reilly,hughesandbradford.com",2025-03-05 20:50:03,E01163,E00732,Churned,64
C000027,United Williams Systems,Manufacturing,India,New Hampshire,South Juanton,194,12073880.0,Small,"martinez,taylorandhenderson.com",2020-12-11 20:15:14,E00150,E00821,Active,77
C000028,Prime Bonilla Technologies,Technology,Japan,Ohio,Stonemouth,21409,1419955914.0,Enterprise,crawford-blankenship.com,2025-01-19 20:25:18,E00387,E00114,Active,51
C000029,United Lewis Solutions,Education,Malaysia,Alabama,Lake Crystalfurt,28584,705291799.0,Enterprise,lopez-lowe.com,2022-09-21 22:01:32,E00156,E00891,Active,53
C000030,Elite Mayer Enterprises,Manufacturing,Canada,Utah,Joelport,172,7274729.0,Small,jacksoninc.com,2022-11-29 21:02:08,E00020,E00187,Churned,72
C000031,Dynamic Miller Labs,Energy,South Africa,Alaska,Carriefort,45,469279.0,Startup,liplc.com,2018-01-20 16:08:52,E00308,E00756,Active,73
C000032,Elite Vega Solutions,Education,France,Alaska,Zacharyburgh,824,53930213.0,Medium,andersonltd.com,2018-04-04 11:51:46,E00167,E00076,Active,39
C000033,Prime Hayes Enterprises,Finance,Netherlands,California,East Madison,75,2376843.0,Small,gill-anderson.com,2018-11-12 20:54:51,E00111,E00919,Inactive,51
C000034,Next Johnson Labs,Retail,France,Kansas,Mooneyland,916,30392888.0,Medium,cole-braun.com,2018-07-23 01:05:11,E00917,E01179,Active,76
C000035,Nova Montgomery Enterprises,Telecom,Saudi Arabia,Illinois,Samuelmouth,54,3729172.0,Small,"rodriguez,robinsonandchase.com",2022-10-28 03:42:31,E00144,E01015,Active,70
C000036,Quantum Carter Systems,Finance,Pakistan,Arizona,Thomastown,9814,550462587.0,Enterprise,smithplc.com,2022-07-07 19:11:44,E01119,E00924,Active,65
C000037,Prime Tyler Holdings,Manufacturing,UAE,Illinois,South Deborahport,960,46995140.0,Medium,davisllc.com,2019-03-27 12:28:56,E00466,E00432,Churned,71
C000038,Future Cox Enterprises,Retail,Netherlands,Maine,West Tiffany,167,11185281.0,Small,,2022-05-21 13:12:42,E00872,E00036,Active,97
C000039,Elite Ramirez Industries,Telecom,Australia,Wyoming,New Christian,3064,111957078.0,Large,"morse,popeandclark.com",2024-04-10 17:39:39,E00283,E01273,Active,41
C000040,Dynamic Hall Holdings,Manufacturing,Australia,South Carolina,Reynoldsfurt,124,1550169.0,Small,robinson-gonzalez.com,2025-06-18 04:32:19,E00443,E00504,Active,91
C000041,Elite Weaver Consulting,Telecom,USA,Alabama,East Angelaville,340,13043623.0,Medium,robertsonllc.com,2020-10-11 12:50:53,E00976,E00095,Active,78
C000042,United Yoder Solutions,Healthcare,Singapore,Idaho,Hillbury,547,33150919.0,Medium,"hernandez,diazandflores.com",2023-05-04 10:37:57,E00742,E00280,Active,58
C000043,Elite Miller Systems,Hospitality,Brazil,Minnesota,Port Heather,193,8197737.0,Small,"long,hodgesandjohnson.com",2021-12-04 09:20:30,E00111,E00451,Inactive,77
C000044,Global Clay Solutions,Education,Saudi Arabia,New Mexico,New Heatherfurt,295,19826453.0,Medium,"mullen,moraandwilliams.com",2023-03-16 03:13:15,E00694,E00326,Active,48
C000045,Nova Wood Enterprises,Logistics,Spain,Michigan,Port Paula,694,36184600.0,Medium,baldwinplc.com,2018-04-11 00:52:13,E00308,E00036,Active,94
C000046,Global Bray Networks,Hospitality,Singapore,Colorado,Amymouth,195,11438495.0,Small,"sandoval,mccallandlyons.com",2021-07-31 20:36:23,E01056,E00973,Active,82
C000047,United Collins Consulting,Hospitality,France,Arkansas,Port Charles,325,19429216.0,Medium,stephensllc.com,2024-03-26 07:09:57,E00640,E00305,Active,64
C000048,United Hall Technologies,Construction,USA,Virginia,Christinachester,280,4701887.0,Medium,collier-grimes.com,2022-06-29 19:28:57,E00707,E00026,Active,69
C000049,Quantum Evans Industries,Government,India,Oklahoma,Port Jimshire,267,,Medium,durhamllc.com,2023-01-15 14:13:26,E01163,E00271,Active,99
C000050,Next Davies Group,Government,France,Tennessee,West Dawnville,195,5168830.0,Small,walker-stephens.com,2024-01-23 07:29:02,E00443,E00400,Active,93
C000051,Prime Bridges Labs,Technology,Saudi Arabia,Washington,Victoriastad,449,20884320.0,Medium,"francis,stantonandgibson.com",2024-10-06 05:34:26,E00466,E00960,Active,82
C000052,Dynamic Ball Networks,Healthcare,Malaysia,Colorado,Richport,90,1315281.0,Small,castroinc.com,2024-10-16 17:42:46,E01071,E01166,Inactive,41
C000053,Prime Murphy Technologies,Construction,South Africa,Pennsylvania,New Ianshire,37,3080613.0,Startup,gibson-levy.com,2024-08-31 11:56:25,E00618,E01262,Active,70
C000054,Quantum Chapman Enterprises,Energy,UK,Tennessee,West Jamesview,4383,105385600.0,Large,"mcbride,harveyandramsey.com",2019-01-04 13:10:18,E00993,E00561,Active,41
C000055,United Hernandez Group,Logistics,Australia,Indiana,,112,6052290.0,Small,lloydplc.com,2022-10-08 10:30:16,E00045,E01038,Inactive,50
C000056,Nova Hill Systems,Construction,Germany,Rhode Island,Rosemouth,975,77798538.0,Medium,"savage,wilsonandsantiago.com",2024-05-03 11:19:14,E00691,E00266,Inactive,76
C000057,Dynamic Garcia Networks,Telecom,Canada,Arkansas,Port Sean,921,39584539.0,Medium,"mcgrath,larsenandfriedman.com",2024-05-16 14:17:55,E00703,E00829,Inactive,54
C000058,Elite Holmes Enterprises,Finance,USA,Delaware,Graceburgh,40914,2895497766.0,Enterprise,patterson-davis.com,2021-10-28 14:47:48,E00330,E00861,Active,38
C000059,Quantum Donaldson Holdings,Retail,Netherlands,Texas,East Paul,3653,209650715.0,Large,"barrett,petersonandrodriguez.com",2020-11-12 21:24:38,E01129,E00266,Active,39
C000060,Next Vazquez Group,Education,Japan,Minnesota,North Hunterton,168,5446108.0,Small,johnsongroup.com,2021-10-30 11:44:37,E00324,E01190,Active,57
C000061,United Greene Solutions,Retail,Singapore,Maryland,North Hannah,369,11310640.0,Medium,perry-thomas.com,2023-02-24 20:53:44,E01174,E00738,Inactive,36
C000062,Nova Randolph Solutions,Telecom,Australia,Wyoming,Kariburgh,560,26162363.0,Medium,myers-herrera.com,2025-11-18 14:04:38,E00995,E00877,Active,44
C000063,Dynamic Huber Consulting,Telecom,France,Alaska,Kathrynville,194,10496213.0,Small,roberts-bowers.com,2023-09-18 15:43:17,E00405,E01151,Active,88
C000064,Blue Blankenship Technologies,Telecom,France,Massachusetts,Lake Yvonneland,275,12031294.0,Medium,"cook,watersandschultz.com",2025-08-03 07:42:07,E00065,E00236,Active,63
