RefundID,PaymentID,InvoiceID,CustomerID,RefundDate,RefundAmount,Reason,Status
R0000001,P0146032,I0162697,C003992,2024-06-14 04:51:32,33.35,Customer Request,Processed
R0000002,P0208035,I0231624,C008204,2023-07-17 04:50:04,67.78,Subscription Cancellation,Processed
R0000003,P0213316,I0237443,C001343,2025-01-02 18:20:14,116.1,Subscription Cancellation,Processed
R0000004,P0044791,I0049821,C004912,2020-07-30 19:30:38,200.66,Billing Error,Processed
R0000005,P0356568,I0396642,C009073,2023-07-17 12:48:55,25.01,Fraud,Processed
R0000006,P0236942,I0263819,C004039,2023-02-04 15:13:48,61.95,Service Outage,Processed
R0000007,P0077529,I0086306,C002900,2020-08-16 00:43:56,61.95,Fraud,Processed
R0000008,P0176377,I0196454,C009449,2021-11-21 08:24:04,890.0,Fraud,Processed
R0000009,P0061855,I0068860,C007474,2021-12-03 19:05:46,40.1,Service Outage,Processed
R0000010,P0219894,I0244750,C001894,2021-04-28 10:23:52,31.03,Duplicate Payment,Processed
R0000011,P0289173,I0321831,C005369,2022-12-13 07:14:11,548.9,Fraud,Processed
R0000012,P0123843,I0137917,C002592,2024-04-20 02:45:59,27.37,Subscription Cancellation,Processed
R0000013,P0261923,I0291664,C007917,2025-08-27 20:54:57,32.56,Customer Request,Processed
R0000014,P0036653,I0040779,C007983,2022-11-18 19:04:35,82.84,Subscription Cancellation,Processed
R0000015,P0314908,I0350359,C003826,2025-12-16 13:51:18,1236.67,Fraud,Processed
R0000016,P0348128,I0387210,C001424,2024-08-04 07:30:28,40.01,Customer Request,Processed
R0000017,P0092485,I0102924,C008797,2025-09-16 23:25:14,81.16,Billing Error,Processed
R0000018,P0190801,I0212379,C005536,2021-10-31 01:21:19,380.84,Customer Request,Processed
R0000019,P0238380,I0265411,C007598,2025-08-02 15:52:06,286.35,Service Outage,Processed
R0000020,P0040527,I0045096,C002918,2024-03-26 07:11:41,27.38,Billing Error,Processed
R0000021,P0170967,I0190388,C004730,2026-02-12 10:18:31,14.22,Service Outage,Processed
