SubscriptionID,CustomerID,PlanID,BillingCycle,Status,DiscountPercent,StartDate,RenewalDate,CancelDate,AutoRenew,PlanName,MonthlyPrice,AnnualContractValue
S000001,C006903,3,Monthly,Active,0.0,2020-05-21 02:15:43,2020-06-20 02:15:43,,Yes,Professional,129,1548.0
S000002,C006842,1,Monthly,Active,0.0,2020-08-14 04:13:04,2020-09-13 04:13:04,,Yes,Starter,29,348.0
S000003,C000666,1,Monthly,Active,0.0,2023-09-18 11:58:46,2023-10-18 11:58:46,,Yes,Starter,29,348.0
S000004,C002956,3,Yearly,Active,10.0,2021-04-26 11:57:16,2022-04-26 11:57:16,,Yes,Professional,129,1393.2
S000005,C009886,2,Monthly,Active,0.0,2023-12-17 22:35:27,2024-01-16 22:35:27,,Yes,Basic,59,708.0
S000006,C000080,3,Yearly,Active,10.0,2018-12-22 18:40:05,2019-12-22 18:40:05,,Yes,Professional,129,1393.2
S000007,C003133,3,Monthly,Active,0.0,2020-06-13 12:58:58,2020-07-13 12:58:58,,Yes,Professional,129,1548.0
S000008,C003584,1,Monthly,Active,20.0,2018-12-14 05:08:20,2019-01-13 05:08:20,,Yes,Starter,29,278.4
S000009,C006150,5,Monthly,Active,0.0,2019-02-05 22:28:47,2019-03-07 22:28:47,,Yes,Enterprise,499,5988.0
S000010,C000794,2,Monthly,Active,5.0,2025-09-13 20:56:00,2025-10-13 20:56:00,,Yes,Basic,59,672.6
S000011,C006546,1,Monthly,Cancelled,0.0,2019-03-11 18:40:20,2019-04-10 18:40:20,2019-09-05 18:40:20,Yes,Starter,29,348.0
S000012,C004495,1,Monthly,Active,0.0,2023-01-01 04:28:16,2023-01-31 04:28:16,,Yes,Starter,29,348.0
S000013,C008411,2,Yearly,Active,0.0,2023-05-06 22:21:17,2024-05-05 22:21:17,,No,Basic,59,708.0
S000014,C004360,8,Monthly,Active,10.0,2018-06-11 23:50:03,2018-07-11 23:50:03,,No,Growth,79,853.2
S000015,C000473,4,Monthly,Active,20.0,2021-05-08 07:45:56,2021-06-07 07:45:56,,Yes,Business,249,2390.4
S000016,C006346,2,Monthly,Cancelled,25.0,2022-02-04 15:34:28,2022-03-06 15:34:28,2024-02-20 15:34:28,Yes,Basic,59,531.0
S000017,C005696,5,Monthly,Active,0.0,2018-05-05 17:40:30,2018-06-04 17:40:30,2018-08-13 17:40:30,Yes,Enterprise,499,5988.0
S000018,C008997,2,Monthly,Trial,5.0,2019-08-23 19:08:22,2019-09-22 19:08:22,,Yes,Basic,59,672.6
S000019,C005132,1,Monthly,Active,0.0,2025-12-19 14:58:04,2026-01-18 14:58:04,,Yes,Starter,29,348.0
S000020,C001286,1,Yearly,Cancelled,20.0,2024-05-13 20:00:28,2025-05-13 20:00:28,2026-02-25 20:00:28,Yes,Starter,29,278.4
S000021,C008575,1,Monthly,Active,0.0,2018-01-27 09:52:22,2018-02-26 09:52:22,,Yes,Starter,29,348.0
S000022,C004931,1,Monthly,Active,10.0,2019-05-18 16:30:15,2019-06-17 16:30:15,,Yes,Starter,29,313.2
S000023,C006512,8,Monthly,Active,15.0,2020-09-02 17:30:26,2020-10-02 17:30:26,,Yes,Growth,79,805.8
S000024,C003450,6,Yearly,Cancelled,5.0,2020-02-09 07:35:40,2021-02-08 07:35:40,2021-12-27 07:35:40,Yes,Enterprise Plus,999,11388.6
S000025,C002778,3,Monthly,Active,10.0,2023-12-20 22:17:55,2024-01-19 22:17:55,,Yes,Professional,129,1393.2
S000026,C001805,2,Monthly,Active,0.0,2021-05-28 23:49:26,2021-06-27 23:49:26,,Yes,Basic,59,708.0
S000027,C008995,4,Monthly,Active,20.0,2019-03-27 08:13:02,2019-04-26 08:13:02,,Yes,Business,249,2390.4
S000028,C002641,3,Yearly,Active,10.0,2018-01-07 17:02:53,2019-01-07 17:02:53,,Yes,Professional,129,1393.2
S000029,C001479,1,Yearly,Active,0.0,2024-12-26 13:45:53,2025-12-26 13:45:53,,Yes,Starter,29,348.0
S000030,C007584,4,Monthly,Paused,0.0,2023-12-28 09:19:01,2024-01-27 09:19:01,,Yes,Business,249,2988.0
S000031,C005007,4,Yearly,Active,5.0,2019-04-20 08:59:09,2020-04-19 08:59:09,,Yes,Business,249,2838.6
S000032,C004230,2,Yearly,Active,20.0,2023-09-11 19:38:41,2024-09-10 19:38:41,,No,Basic,59,566.4
S000033,C007855,2,Quarterly,Active,0.0,2020-06-25 21:57:46,2020-09-23 21:57:46,,Yes,Basic,59,708.0
S000034,C002442,4,Yearly,Active,0.0,2018-12-23 19:01:07,2019-12-23 19:01:07,,Yes,Business,249,2988.0
S000035,C009973,2,Monthly,Active,0.0,2022-08-30 16:36:59,2022-09-29 16:36:59,,Yes,Basic,59,708.0
S000036,C004167,1,Monthly,Trial,15.0,2025-10-09 02:18:22,2025-11-08 02:18:22,,Yes,Starter,29,295.8
S000037,C001502,3,Monthly,Cancelled,10.0,2021-11-02 01:12:38,2021-12-02 01:12:38,2022-08-22 01:12:38,Yes,Professional,129,1393.2
S000038,C007841,1,Monthly,Active,0.0,2025-10-14 10:59:58,2025-11-13 10:59:58,,Yes,Starter,29,348.0
S000039,C006202,8,Quarterly,Active,15.0,2023-03-09 02:44:08,2023-06-07 02:44:08,,No,Growth,79,805.8
S000040,C004407,2,Monthly,Active,10.0,2020-09-12 01:35:08,2020-10-12 01:35:08,,Yes,Basic,59,637.2
S000041,C000298,3,Yearly,Active,30.0,2022-01-03 09:28:59,2023-01-03 09:28:59,,Yes,Professional,129,1083.6
S000042,C003024,3,Monthly,Active,10.0,2025-01-31 04:01:27,2025-03-02 04:01:27,,No,Professional,129,1393.2
S000043,C005935,4,Quarterly,Active,0.0,2018-12-27 10:23:13,2019-03-27 10:23:13,,Yes,Business,249,2988.0
S000044,C001348,2,Monthly,Cancelled,0.0,2020-11-11 03:25:04,2020-12-11 03:25:04,2022-01-06 03:25:04,Yes,Basic,59,708.0
S000045,C002273,9,Monthly,Active,0.0,2020-12-10 06:21:03,2021-01-09 06:21:03,,Yes,Scale,179,2148.0
S000046,C002208,2,Yearly,Cancelled,0.0,2022-11-17 19:24:17,2023-11-17 19:24:17,2023-10-12 19:24:17,No,Basic,59,708.0
S000047,C000719,8,Monthly,Active,5.0,2025-05-25 00:38:08,2025-06-24 00:38:08,,No,Growth,79,900.6
S000048,C005092,1,Monthly,Active,0.0,2023-11-20 23:02:36,2023-12-20 23:02:36,,Yes,Starter,29,348.0
S000049,C000477,1,Quarterly,Active,0.0,2018-02-14 15:44:41,2018-05-15 15:44:41,,Yes,Starter,29,348.0
S000050,C005033,3,Monthly,Active,10.0,2020-11-13 20:39:40,2020-12-13 20:39:40,,Yes,Professional,129,1393.2
S000051,C000580,2,Yearly,Active,0.0,2025-02-17 03:27:52,2026-02-17 03:27:52,,Yes,Basic,59,708.0
S000052,C002548,4,Monthly,Active,15.0,2019-01-20 11:37:17,2019-02-19 11:37:17,,No,Business,249,2539.8
S000053,C001681,5,Monthly,Active,0.0,2021-06-17 21:11:49,2021-07-17 21:11:49,,Yes,Enterprise,499,5988.0
S000054,C004954,1,Monthly,Active,5.0,2018-12-18 16:27:17,2019-01-17 16:27:17,,Yes,Starter,29,330.6
S000055,C003271,2,Monthly,Active,5.0,2021-02-08 14:36:09,2021-03-10 14:36:09,,Yes,Basic,59,672.6
S000056,C003662,1,Quarterly,Active,15.0,2021-03-07 22:36:15,2021-06-05 22:36:15,,Yes,Starter,29,295.8
S000057,C004638,3,Monthly,Active,5.0,2019-04-11 07:35:04,2019-05-11 07:35:04,,Yes,Professional,129,1470.6
S000058,C009413,5,Yearly,Active,10.0,2021-02-20 00:39:56,2022-02-20 00:39:56,,Yes,Enterprise,499,5389.2
S000059,C003575,1,Yearly,Cancelled,0.0,2020-07-18 13:50:39,2021-07-18 13:50:39,2020-10-01 13:50:39,Yes,Starter,29,348.0
S000060,C001165,7,Monthly,Active,0.0,2024-06-03 16:33:01,2024-07-03 16:33:01,,Yes,Startup,39,468.0
S000061,C004716,2,Monthly,Active,0.0,2018-09-14 00:54:50,2018-10-14 00:54:50,,Yes,Basic,59,708.0
S000062,C003445,10,Monthly,Active,5.0,2019-03-12 05:22:24,2019-04-11 05:22:24,,Yes,Corporate,349,3978.6
S000063,C007263,7,Monthly,Active,10.0,2020-01-14 11:07:43,2020-02-13 11:07:43,,No,Startup,39,421.2
S000064,C001311,1,Monthly,Active,0.0,2020-06-06 06:20:46,2020-07-06 06:20:46,,Yes,Starter,29,348.0
S000065,C005063,4,Monthly,Active,0.0,2022-04-27 08:14:31,2022-05-27 08:14:31,,Yes,Business,249,2988.0
S000066,C006197,4,Yearly,Active,0.0,2019-03-26 19:32:05,2020-03-25 19:32:05,,No,Business,249,2988.0
