TicketID,CustomerID,AgentID,Category,Priority,Status,CreatedDate,ResolvedDate,ResolutionHours,CustomerSatisfaction
T0000001,C000001,E00904,Account,Low,Closed,2025-09-17 04:52:56,2025-09-20 08:52:56,76.0,1
T0000002,C000001,E00969,Performance,Medium,Open,2024-02-07 16:20:56,2024-02-09 14:20:56,46.0,2
T0000003,C000001,E00171,Billing,High,Resolved,2025-05-24 10:38:49,2025-05-29 16:38:49,126.0,1
T0000004,C000002,E01153,Security,Low,Resolved,2019-07-27 13:55:05,2019-07-31 08:55:05,91.0,5
T0000005,C000003,E00915,Feature Request,Medium,Resolved,2023-01-02 10:13:28,2023-01-07 14:13:28,124.0,5
T0000006,C000003,E00258,Account,Medium,Resolved,2022-05-28 12:01:13,2022-06-03 13:01:13,145.0,4
T0000007,C000003,E01180,Security,Critical,Resolved,2023-03-24 03:23:39,2023-04-02 08:23:39,221.0,5
T0000008,C000004,E00792,Performance,Medium,Resolved,2025-12-28 13:22:12,2026-01-03 02:22:12,133.0,2
T0000009,C000005,E01215,Bug Report,Medium,Resolved,2021-08-19 09:24:25,2021-08-25 08:24:25,143.0,5
T0000010,C000005,E01125,Billing,Low,Pending,2023-11-22 04:15:14,2023-11-25 04:15:14,72.0,4
T0000011,C000005,E00303,Billing,Medium,Resolved,2024-07-20 04:57:10,2024-07-22 15:57:10,59.0,3
T0000012,C000005,E00548,Feature Request,Medium,Resolved,2024-06-28 02:51:32,2024-07-06 08:51:32,198.0,1
T0000013,C000006,E00687,Account,Medium,Resolved,2023-11-27 08:58:20,2023-12-03 08:58:20,144.0,1
T0000014,C000006,E01255,Account,Low,Resolved,2023-09-09 21:36:16,2023-09-12 02:36:16,53.0,3
T0000015,C000007,E00481,Technical,Low,Resolved,2025-03-21 22:08:41,2025-03-27 20:08:41,142.0,4
T0000016,C000007,E00940,Account,Medium,Resolved,2024-09-05 17:01:20,2024-09-06 12:01:20,19.0,2
T0000017,C000007,E01109,Billing,Low,Resolved,2023-11-05 17:07:56,2023-11-09 09:07:56,88.0,2
T0000018,C000007,E01192,Feature Request,High,Resolved,2023-06-08 00:07:32,2023-06-13 19:07:32,139.0,1
T0000019,C000008,E00267,Account,Low,Pending,2022-01-22 06:17:07,2022-01-30 04:17:07,190.0,1
T0000020,C000010,E00039,Bug Report,Medium,Pending,2025-11-09 13:46:01,2025-11-12 06:46:01,65.0,3
T0000021,C000011,E00186,Billing,High,Pending,2024-05-30 19:25:14,2024-06-06 14:25:14,163.0,1
T0000022,C000013,E00548,Bug Report,Low,Resolved,2018-08-27 21:24:20,2018-08-28 22:24:20,25.0,3
T0000023,C000013,E01316,Account,Low,Resolved,2019-12-03 13:13:10,2019-12-10 09:13:10,164.0,1
T0000024,C000013,E00267,Performance,Critical,Closed,2025-10-03 17:51:47,2025-10-08 18:51:47,121.0,4
T0000025,C000013,E00046,Billing,High,Resolved,2019-04-12 10:06:11,2019-04-18 08:06:11,142.0,3
T0000026,C000013,E01260,Billing,Critical,Resolved,2021-03-15 16:07:50,2021-03-18 04:07:50,60.0,1
T0000027,C000014,E00928,Bug Report,Medium,Resolved,2024-10-21 21:24:46,2024-10-31 01:24:46,220.0,4
T0000028,C000014,E00610,Bug Report,Low,Pending,2025-02-12 17:09:29,2025-02-16 00:09:29,79.0,4
T0000029,C000015,E01036,Account,Medium,Resolved,2024-01-21 20:42:03,2024-01-27 15:42:03,139.0,1
T0000030,C000016,E00171,Technical,Medium,Pending,2025-06-14 07:52:04,2025-06-18 10:52:04,99.0,4
T0000031,C000017,E00511,Security,Medium,Resolved,2021-06-24 20:01:42,2021-07-02 17:01:42,189.0,2
T0000032,C000017,E00686,Performance,Low,Open,2020-01-14 21:04:36,2020-01-15 09:04:36,12.0,4
T0000033,C000017,E00364,Security,Medium,Resolved,2023-06-29 01:23:22,2023-07-02 20:23:22,91.0,3
T0000034,C000017,E00753,Performance,Medium,Closed,2021-10-25 22:01:38,2021-10-27 09:01:38,35.0,5
T0000035,C000017,E00009,Feature Request,Medium,Closed,2019-08-21 07:02:57,2019-08-29 10:02:57,195.0,5
T0000036,C000018,E00039,Security,High,Closed,2025-04-17 07:09:47,2025-04-26 11:09:47,220.0,4
T0000037,C000019,E00383,Account,Low,Closed,2025-09-27 20:41:04,2025-10-04 02:41:04,150.0,2
T0000038,C000019,E00542,Performance,Low,Pending,2024-09-01 22:50:15,2024-09-10 09:50:15,203.0,5
T0000039,C000019,E00046,Performance,Medium,Resolved,2025-01-11 03:59:24,2025-01-19 04:59:24,193.0,1
T0000040,C000020,E01032,Account,Low,Open,2025-02-10 06:27:34,2025-02-16 08:27:34,146.0,1
T0000041,C000020,E00219,Bug Report,High,Pending,2025-01-29 04:06:21,2025-02-02 10:06:21,102.0,3
T0000042,C000020,E00201,Technical,Low,Resolved,2025-05-04 19:02:41,2025-05-12 06:02:41,179.0,2
T0000043,C000020,E00088,Security,Medium,Resolved,2025-08-04 02:19:06,2025-08-12 10:19:06,200.0,4
T0000044,C000021,E01316,Feature Request,Medium,Resolved,2023-01-08 04:51:06,2023-01-11 11:51:06,79.0,5
T0000045,C000021,E00928,Billing,Medium,Pending,2023-09-10 02:57:37,2023-09-17 09:57:37,175.0,5
T0000046,C000023,E00464,Billing,High,Resolved,2023-08-28 22:36:46,2023-09-05 00:36:46,170.0,1
